"filename", "language", "Dart", "JSON", "C++", "YAML", "Markdown", "Properties", "Groovy", "XML", "HTML", "Swift", "comment", "blank", "total"
"e:\Dev\Projects\HTI\jwt_auth\test\widget_test.dart", "Dart", -14, 0, 0, 0, 0, 0, 0, 0, 0, 0, -10, -6, -30
"e:\Dev\Projects\HTI\jwt_auth\web\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, -38, 0, -16, -6, -60
"e:\Dev\Projects\HTI\jwt_auth\web\manifest.json", "JSON", 0, -35, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -36
"e:\Dev\Projects\HTI\jwt_auth\windows\flutter\generated_plugin_registrant.cc", "C++", 0, 0, -15, 0, 0, 0, 0, 0, 0, 0, -4, -5, -24
"e:\Dev\Projects\HTI\jwt_auth\windows\flutter\generated_plugin_registrant.h", "C++", 0, 0, -5, 0, 0, 0, 0, 0, 0, 0, -5, -6, -16
"e:\Dev\Projects\HTI\jwt_auth\windows\runner\flutter_window.cpp", "C++", 0, 0, -49, 0, 0, 0, 0, 0, 0, 0, -7, -16, -72
"e:\Dev\Projects\HTI\jwt_auth\windows\runner\flutter_window.h", "C++", 0, 0, -20, 0, 0, 0, 0, 0, 0, 0, -5, -9, -34
"e:\Dev\Projects\HTI\jwt_auth\windows\runner\main.cpp", "C++", 0, 0, -30, 0, 0, 0, 0, 0, 0, 0, -4, -10, -44
"e:\Dev\Projects\HTI\jwt_auth\windows\runner\resource.h", "C++", 0, 0, -9, 0, 0, 0, 0, 0, 0, 0, -6, -2, -17
"e:\Dev\Projects\HTI\jwt_auth\windows\runner\utils.cpp", "C++", 0, 0, -54, 0, 0, 0, 0, 0, 0, 0, -2, -10, -66
"e:\Dev\Projects\HTI\jwt_auth\windows\runner\utils.h", "C++", 0, 0, -8, 0, 0, 0, 0, 0, 0, 0, -6, -6, -20
"e:\Dev\Projects\HTI\jwt_auth\windows\runner\win32_window.cpp", "C++", 0, 0, -210, 0, 0, 0, 0, 0, 0, 0, -24, -55, -289
"e:\Dev\Projects\HTI\jwt_auth\windows\runner\win32_window.h", "C++", 0, 0, -48, 0, 0, 0, 0, 0, 0, 0, -31, -24, -103
"Total", "-", 56, -248, -551, -46, -13, -8, -104, -499, -38, -64, -278, -256, -2049
